Song Name,Popularity,Duration (min)
Strangers By Nature,64,3.03605
Easy On Me,83,3.7449
My Little Love,67,6.485116666666666
Cry Your Heart Out,65,4.2546333333333335
Oh My God,79,3.752466666666667
Can I Get It,72,3.5064
I Drink Wine,76,6.2694833333333335
All Night Parking (with Erroll Garner) Interlude,68,2.69715
Woman Like Me,64,5.0041166666666665
Hold On,66,6.100066666666667
To Be Loved,68,6.732683333333333
Love Is A Game,66,6.7174
Hello,77,4.925033333333333
Send My Love (To Your New Lover),75,3.717966666666667
I Miss You,61,5.810416666666667
When We Were Young,80,4.848333333333334
Remedy,65,4.090433333333333
Water Under the Bridge,74,4.007316666666667
River Lea,60,3.7571
Love In The Dark,83,4.765583333333334
Million Years Ago,65,3.7844166666666665
All I Ask,75,4.53
Sweetest Devotion,55,4.195016666666667
Rolling in the Deep,83,3.80155
Rumour Has It,69,3.7211
Turning Tables,70,4.166666666666667
Don't You Remember,67,4.053333333333334
Set Fire to the Rain,85,4.04955
He Won't Go,58,4.634
Take It All,57,3.804883333333333
I'll Be Waiting,55,4.022516666666666
One And Only,63,5.803766666666666
Lovesong,61,5.270666666666667
Someone Like You,83,4.754
Daydreamer,58,3.6751
Best for Last,41,4.308433333333333
Chasing Pavements,65,3.5084333333333335
Cold Shoulder,54,3.197766666666667
Crazy For You,54,3.4673333333333334
Melt My Heart to Stone,53,3.398433333333333
First Love,40,3.171333333333333
Right As Rain,42,3.2891
Make You Feel My Love,48,3.534
My Same,40,3.260883333333333
Tired,41,4.314216666666667
Hometown Glory,61,4.520433333333333
Chasing Pavements - Live at Hotel Cafe,48,3.87
Melt My Heart to Stone - Live at Hotel Cafe,39,3.3644333333333334
That's It, I Quit, I'm Movin' On - Live at Hotel Cafe,42,2.1251
Crazy For You - Live at Hotel Cafe,39,3.723333333333333
Right As Rain - Live at Hotel Cafe,39,3.5337666666666667
My Same - Live at Hotel Cafe,37,3.0906666666666665
Make You Feel My Love - Live at Hotel Cafe,44,3.87
Daydreamer - Live at Hotel Cafe,40,3.69155
Hometown Glory - Live at Hotel Cafe,41,3.80955
Many Shades Of Black - Performed by The Raconteurs and Adele,53,4.468216666666667
